user_id,days_signup_age,recency_days,frequency_total,session_duration_avg,feature_count_used,device_type,os_type,user_segment,region,dropoff_label
89,567,90,33,5.32,6,desktop,linux,free,west,1
90,612,57,32,11.52,2,desktop,mac,trial,north,1
91,334,62,32,8.06,7,tablet,linux,free,east,0
92,593,31,31,12.4,1,desktop,windows,free,north,0
93,619,79,39,9.14,2,desktop,android,premium,north,1
94,301,28,48,3.8,13,mobile,windows,premium,east,0
95,658,41,30,21.01,11,desktop,android,free,north,0
96,231,31,45,11.07,14,desktop,mac,premium,north,0
97,197,40,44,17.79,13,tablet,windows,free,north,0
98,507,44,46,9.89,13,mobile,linux,trial,south,0
99,475,9,38,18.79,6,mobile,ios,free,north,0
100,127,86,47,7.39,4,tablet,windows,free,north,1
101,612,52,28,12.7,10,desktop,ios,trial,north,0
102,169,113,33,7.63,9,mobile,windows,free,west,1
103,593,21,33,22.4,7,mobile,android,premium,west,0
104,35,80,39,11.0,7,tablet,ios,free,south,1
105,587,21,38,15.31,3,tablet,windows,free,east,0
106,580,65,40,13.8,7,mobile,linux,free,east,1
107,576,58,40,11.9,14,desktop,windows,trial,north,0
108,495,53,33,14.07,6,mobile,windows,trial,east,0
109,360,78,46,17.44,8,mobile,android,free,north,0
110,523,99,39,14.67,14,desktop,ios,free,south,0
111,223,38,35,12.65,12,mobile,android,free,east,0
112,576,101,31,14.08,12,mobile,windows,free,west,1
113,418,22,34,19.66,1,mobile,windows,free,south,0
114,351,35,46,10.33,12,mobile,windows,premium,north,0
115,383,37,34,4.58,2,mobile,linux,free,east,1
116,428,114,33,7.61,1,tablet,linux,free,east,1
117,56,14,26,7.91,5,mobile,windows,trial,north,0
118,127,47,33,8.47,6,desktop,ios,premium,north,0
119,201,50,32,8.61,2,mobile,linux,trial,south,0
120,110,96,34,11.91,9,desktop,android,free,north,1
121,337,58,38,12.99,13,desktop,windows,free,west,0
122,497,116,38,12.95,10,tablet,windows,free,west,1
123,488,88,39,9.08,14,mobile,ios,free,west,1
124,359,84,30,15.98,13,mobile,android,trial,north,1
125,628,90,40,14.14,12,mobile,windows,premium,south,0
126,425,19,38,18.33,3,mobile,windows,free,south,0
127,85,53,33,15.39,9,desktop,android,trial,south,0
128,565,70,44,10.6,2,desktop,mac,trial,north,1
129,432,25,29,17.22,11,mobile,linux,free,north,0
130,474,14,45,13.09,13,desktop,ios,free,east,0
131,425,16,31,15.19,2,desktop,android,premium,east,0
132,417,94,43,14.88,8,mobile,android,free,west,1
133,93,78,39,11.5,2,desktop,android,free,south,1
134,421,33,41,12.41,8,desktop,ios,free,north,0
135,586,88,29,11.47,7,tablet,android,trial,west,0
136,242,83,25,8.59,13,desktop,windows,premium,east,0
137,451,97,29,3.42,4,desktop,android,free,west,1
138,51,109,41,9.22,11,mobile,ios,free,west,1
139,273,105,33,12.8,10,desktop,linux,premium,north,1
140,335,21,28,16.34,11,tablet,linux,trial,west,0
141,717,92,38,15.18,14,mobile,ios,premium,east,1
142,180,47,42,10.88,3,mobile,linux,trial,west,0
143,223,48,37,9.28,1,desktop,windows,trial,east,0
144,315,77,44,11.28,9,mobile,windows,free,north,1
145,724,72,41,8.1,2,mobile,windows,free,north,1
146,627,50,35,3.54,7,desktop,windows,free,south,1
147,54,119,38,5.82,8,desktop,ios,free,north,1
148,193,20,44,17.5,9,mobile,android,free,east,0
149,605,11,35,19.43,1,mobile,android,free,west,0
150,70,3,27,15.02,9,mobile,android,free,east,0
151,628,97,32,11.77,11,mobile,android,trial,south,1
152,226,48,34,6.43,1,mobile,linux,free,west,0
153,672,52,29,11.36,6,desktop,mac,premium,south,1
154,235,77,37,14.45,5,desktop,mac,free,west,1
155,334,52,39,15.32,5,tablet,windows,free,south,0
156,493,68,33,14.76,7,tablet,android,free,east,0
157,118,7,35,16.84,2,tablet,mac,free,north,0
158,419,18,26,19.77,8,mobile,mac,free,south,0
159,383,111,28,10.38,2,mobile,android,free,south,1
160,578,54,34,22.846250000000005,2,mobile,linux,trial,east,0
161,727,20,38,3.92,8,desktop,ios,free,west,0
162,495,44,34,8.89,13,tablet,windows,premium,north,0
163,316,40,23,12.8,10,mobile,mac,free,south,0
164,314,32,36,14.2,5,mobile,linux,free,south,0
165,322,35,35,11.27,5,mobile,mac,trial,east,0
166,599,87,36,10.02,7,mobile,linux,free,north,1
167,254,12,46,20.81,1,desktop,linux,free,east,0
168,146,37,29,9.83,10,mobile,windows,free,east,0
169,264,56,43,7.92,2,mobile,linux,free,east,1
170,45,64,38,18.76,11,tablet,ios,free,west,0
171,104,105,37,15.4,6,mobile,android,premium,east,1
172,93,110,47,16.38,6,mobile,mac,free,west,1
173,570,35,32,12.78,7,desktop,android,premium,north,0
174,535,64,31,6.5,2,mobile,mac,premium,south,1
175,517,2,32,12.34,4,desktop,ios,free,east,0
176,353,74,40,5.95,3,mobile,android,trial,north,1
177,531,18,43,12.97,12,mobile,android,premium,east,0
178,142,8,40,14.61,3,mobile,linux,free,north,0
179,660,80,34,16.3,2,desktop,windows,free,east,1
180,380,21,47,11.63,4,mobile,mac,trial,west,0
181,686,57,40,14.99,6,tablet,ios,trial,north,0
182,136,12,32,8.38,9,mobile,mac,premium,north,0
183,378,89,43,15.87,6,desktop,windows,free,east,1
184,517,91,34,14.7,8,tablet,android,free,south,0
185,376,68,47,8.8,8,mobile,windows,trial,west,0
186,342,100,29,14.12,3,desktop,android,free,north,1
187,146,52,38,16.36,1,desktop,windows,trial,west,0
188,296,22,45,12.31,10,desktop,windows,free,west,0
189,197,18,38,8.71,14,desktop,ios,free,east,0
190,241,26,38,12.71,1,mobile,windows,premium,south,0
191,508,24,33,14.21,13,tablet,windows,trial,east,0
192,471,38,35,8.68,13,desktop,windows,trial,south,0
193,455,25,34,7.97,12,mobile,android,premium,south,0
194,283,70,33,14.09,8,mobile,android,free,east,1
195,701,17,31,15.29,5,mobile,android,trial,west,0
196,91,74,41,20.6,9,mobile,ios,free,east,0
197,269,40,31,14.66,1,mobile,ios,free,west,1
198,112,82,41,7.16,5,desktop,ios,premium,east,1
199,267,61,47,20.16,6,mobile,linux,premium,west,0
200,703,108,41,16.22,8,mobile,mac,free,north,1
201,286,52,33,3.98,4,tablet,windows,premium,north,1
202,666,35,37,7.88,6,tablet,linux,free,north,0
203,376,70,36,10.03,11,desktop,windows,trial,south,0
204,519,79,28,15.35,14,mobile,android,premium,south,0
205,350,52,38,2.48,12,tablet,ios,trial,east,0
206,216,67,36,11.52,2,mobile,windows,trial,west,1
207,564,56,31,15.12,9,mobile,linux,premium,north,0
208,708,36,33,1.1562499999999964,7,tablet,linux,free,north,0
209,214,37,46,14.99,8,mobile,linux,trial,west,0
210,575,108,36,15.47,12,mobile,ios,trial,south,0
211,212,81,37,8.61,5,desktop,ios,free,east,1
212,531,11,51,7.39,8,mobile,android,premium,north,0
213,582,115,41,8.55,13,mobile,ios,free,west,1
214,344,85,40,1.31,8,desktop,windows,free,south,1
215,545,6,37,10.7,8,desktop,mac,premium,west,0
216,220,87,39,12.88,13,tablet,windows,free,north,1
217,85,70,26,7.12,1,mobile,windows,trial,east,1
218,97,109,29,15.89,6,desktop,android,premium,west,1
219,342,58,32,12.41,7,desktop,ios,premium,north,0
220,661,62,32,13.04,1,mobile,linux,trial,west,0
221,119,37,39,10.39,7,mobile,windows,premium,west,0
222,349,38,39,14.97,13,mobile,ios,free,south,0
223,522,74,37,17.16,12,mobile,ios,free,west,1
224,171,99,41,10.37,1,mobile,windows,trial,west,1
225,535,106,41,15.04,13,desktop,mac,trial,north,0
226,244,92,38,15.09,12,desktop,ios,premium,north,0
227,596,73,31,13.67,13,mobile,windows,free,north,1
228,435,60,31,18.71,2,desktop,mac,free,south,0
229,412,40,43,9.09,13,mobile,android,free,east,0
230,153,92,33,10.31,1,mobile,windows,free,north,1
231,354,38,44,8.89,1,tablet,windows,trial,south,0
232,629,32,38,14.9,5,mobile,linux,free,south,0
233,43,104,41,10.91,12,desktop,windows,free,east,1
234,560,70,48,9.22,13,mobile,android,free,south,0
235,374,42,37,18.65,9,mobile,android,free,south,0
236,533,103,36,19.24,1,desktop,ios,free,east,1
237,494,115,36,10.69,13,mobile,linux,premium,east,1
238,332,38,42,6.53,4,mobile,windows,premium,west,0
239,246,62,27,19.45,11,desktop,linux,free,west,0
240,469,58,35,13.88,4,desktop,windows,free,west,1
241,128,84,35,13.68,8,tablet,linux,free,west,1
242,438,114,43,12.42,2,tablet,android,free,south,1
243,96,65,25,8.8,14,mobile,windows,trial,east,0
244,484,95,38,10.35,2,mobile,android,free,east,1
245,470,71,34,14.71,14,desktop,linux,free,east,0
246,89,106,36,10.21,13,mobile,android,premium,west,1
247,560,48,38,13.73,3,mobile,windows,trial,west,0
248,321,46,30,12.05,10,mobile,ios,free,south,0
249,580,50,31,7.77,5,desktop,linux,free,north,0
250,59,119,28,18.48,5,tablet,ios,free,east,1
251,155,73,37,14.38,5,mobile,android,free,east,1
252,375,18,27,13.32,4,mobile,ios,premium,east,0
253,161,4,36,14.22,14,tablet,mac,free,north,0
254,260,62,29,4.83,1,mobile,windows,free,north,1
255,492,96,46,10.03,5,mobile,linux,free,east,1
256,131,57,29,5.89,6,mobile,android,free,east,1
257,504,67,32,12.5,6,mobile,ios,free,east,1
258,102,95,31,13.3,5,mobile,android,premium,east,1
259,152,61,33,12.57,10,mobile,linux,free,west,0
260,441,109,35,16.71,13,mobile,android,free,south,1
261,585,76,26,6.01,10,desktop,mac,free,east,1
262,149,87,31,8.8,4,mobile,mac,free,west,1
263,239,93,36,13.66,14,desktop,android,trial,west,0
264,677,75,23,13.06,6,desktop,linux,free,north,1
265,722,6,32,6.74,5,mobile,windows,free,north,0
266,436,51,38,16.79,10,tablet,windows,trial,west,0
267,342,16,34,18.17,14,mobile,mac,trial,east,0
268,272,61,32,13.7,5,mobile,linux,premium,east,0
269,458,17,32,5.96,3,desktop,ios,free,north,0
270,443,61,29,12.64,11,mobile,ios,trial,north,0
271,236,41,36,13.36,7,mobile,android,free,east,0
272,45,2,31,10.91,11,tablet,android,premium,north,0
273,136,14,24,17.39,7,desktop,ios,premium,west,0
274,700,60,34,11.54,1,mobile,windows,trial,west,0
275,322,9,37,20.42,6,mobile,ios,trial,west,0
276,367,102,24,15.13,12,desktop,android,trial,north,0
277,356,91,27,13.1,14,mobile,linux,free,south,0
278,577,85,40,15.68,6,mobile,windows,free,north,1
279,75,20,40,18.12,10,desktop,android,trial,east,0
280,87,95,27,15.6,2,mobile,linux,premium,east,1
281,223,76,30,11.7,4,mobile,linux,trial,north,0
282,370,46,40,9.36,10,desktop,mac,free,west,0
283,499,0,35,7.51,1,desktop,ios,free,east,0
284,373,63,41,2.24,11,mobile,mac,free,south,1
285,338,95,28,12.7,14,tablet,ios,free,west,1
286,686,4,28,10.45,1,desktop,ios,free,south,0
287,142,6,31,10.66,9,desktop,android,free,east,0
288,430,45,29,16.12,5,mobile,windows,free,west,0
289,409,61,35,11.55,10,desktop,ios,free,west,0
290,361,56,27,19.58,13,desktop,android,free,east,0
291,595,51,39,9.71,2,desktop,android,premium,south,0
292,216,30,40,8.12,10,desktop,ios,free,south,0
293,697,7,29,6.97,3,mobile,linux,free,west,0
294,262,3,35,14.89,8,mobile,mac,free,east,0
295,411,11,41,16.61,7,desktop,linux,free,east,0
296,394,82,39,9.62,8,mobile,windows,premium,south,1
297,624,94,35,7.74,11,desktop,ios,trial,east,1
298,337,52,27,18.12,9,desktop,android,premium,north,0
299,229,9,30,6.2,5,mobile,ios,free,east,0
300,45,49,33,16.04,10,tablet,android,free,north,0
301,284,118,40,9.72,9,desktop,android,premium,east,1
302,608,29,36,13.59,1,desktop,android,free,east,1
303,36,58,40,16.31,9,desktop,ios,free,west,0
304,657,64,28,13.91,5,desktop,mac,free,north,0
305,409,39,36,10.82,3,mobile,mac,premium,west,1
306,128,52,38,17.58,8,desktop,android,free,west,0
307,241,56,40,13.16,8,mobile,mac,premium,west,0
308,417,56,39,22.846250000000005,11,desktop,mac,free,south,0
309,250,86,40,5.18,7,mobile,windows,free,west,1
310,106,69,27,5.12,11,desktop,mac,free,north,1
311,496,6,31,15.98,4,mobile,android,free,south,0
312,500,0,33,11.87,9,mobile,android,free,west,0
313,113,49,37,15.17,14,desktop,ios,free,east,0
314,226,108,31,7.61,9,mobile,mac,free,west,1
315,200,4,33,12.22,10,mobile,ios,free,east,0
316,491,8,36,13.83,6,desktop,android,free,east,0
317,541,81,38,9.83,10,mobile,android,premium,east,1
318,538,54,38,12.93,12,mobile,windows,free,east,0
319,687,27,34,6.55,13,mobile,ios,premium,south,0
320,568,24,43,13.58,13,tablet,ios,trial,east,0
321,254,79,37,17.78,5,mobile,windows,premium,south,0
322,105,62,50,7.05,12,mobile,windows,trial,north,0
323,460,76,39,6.81,5,tablet,ios,free,north,1
324,671,33,37,16.76,13,desktop,mac,trial,east,0
325,712,63,32,6.74,1,desktop,linux,premium,east,0
326,191,103,43,15.36,13,mobile,linux,trial,north,0
327,195,37,32,12.22,4,desktop,android,premium,south,0
328,56,47,36,10.33,3,tablet,linux,free,west,1
329,128,19,35,17.87,8,tablet,android,premium,west,0
330,418,76,27,15.71,8,desktop,linux,premium,south,0
331,412,3,29,13.12,3,desktop,windows,premium,east,0
332,289,29,27,3.39,8,desktop,android,trial,east,0
333,246,85,40,14.85,12,desktop,linux,premium,east,0
334,610,2,44,7.72,7,desktop,mac,trial,north,0
335,352,118,48,11.11,9,mobile,linux,free,south,1
336,595,48,42,12.03,12,desktop,linux,premium,south,0
337,704,47,33,19.59,3,mobile,ios,free,west,0
338,251,64,37,10.99,5,mobile,ios,premium,north,1
339,171,76,23,6.31,13,mobile,windows,free,east,1
340,697,55,25,17.88,3,mobile,linux,free,south,0
341,474,106,33,14.9,4,mobile,linux,free,south,1
342,233,115,38,15.05,4,mobile,android,trial,east,1
343,465,24,28,17.95,12,desktop,mac,free,north,0
344,390,84,29,18.89,3,tablet,android,trial,east,1
345,663,36,28,8.43,6,mobile,linux,free,south,1
346,209,119,40,6.44,6,mobile,windows,trial,south,1
347,723,30,41,15.37,2,mobile,android,free,north,0
348,685,35,33,10.95,2,desktop,windows,free,north,0
349,156,85,27,11.31,6,mobile,linux,free,north,0
350,145,94,36,7.51,2,mobile,ios,free,east,1
351,403,15,30,14.34,14,mobile,linux,trial,south,0
352,61,66,29,13.61,7,mobile,linux,free,north,1
353,239,41,42,11.38,1,desktop,windows,trial,west,0
354,334,73,24,6.45,9,desktop,android,trial,west,0
355,708,66,25,16.84,11,mobile,linux,free,east,1
356,724,118,33,13.02,9,mobile,windows,premium,east,1
357,136,112,36,16.47,8,desktop,linux,trial,east,1
358,654,78,43,3.59,2,tablet,mac,free,west,1
359,93,81,28,12.23,11,desktop,android,free,west,1
360,554,107,37,9.13,14,desktop,windows,free,west,1
361,621,22,35,12.14,6,tablet,mac,free,south,0
362,653,87,40,15.77,2,mobile,linux,free,south,1
363,186,92,40,13.48,3,mobile,linux,free,north,1
364,655,15,40,12.07,10,desktop,windows,free,east,0
365,111,105,33,12.05,9,mobile,android,free,south,1
366,393,83,30,5.76,13,mobile,windows,free,east,1
367,358,41,32,8.37,6,desktop,linux,trial,east,0
368,251,58,40,16.49,13,desktop,android,free,east,0
369,45,58,48,9.98,4,mobile,mac,free,north,0
370,570,110,33,16.56,8,mobile,android,free,east,1
371,264,116,34,15.31,10,mobile,mac,free,north,1
372,493,96,33,15.52,4,mobile,ios,free,west,1
373,317,78,37,13.33,6,mobile,mac,trial,north,1
374,291,12,34,10.26,12,mobile,mac,free,south,0
375,650,109,36,11.4,9,tablet,ios,trial,south,1
376,96,16,33,14.56,9,mobile,linux,free,west,0
377,545,20,34,3.5,9,desktop,mac,free,north,0
378,552,8,33,16.98,12,tablet,android,free,east,0
379,295,113,37,10.0,14,mobile,mac,trial,west,1
380,213,59,30,11.65,6,mobile,windows,trial,west,0
381,33,28,34,11.69,5,desktop,mac,premium,south,0
382,685,9,27,11.84,13,mobile,windows,free,south,0
383,693,49,24,6.75,7,mobile,ios,premium,north,0
384,198,86,40,12.61,14,mobile,android,premium,south,0
385,52,119,34,14.38,13,desktop,android,free,south,1
386,115,66,31,3.82,11,desktop,android,premium,west,0
387,77,72,34,6.8,11,desktop,mac,free,west,1
388,611,100,38,15.58,14,mobile,android,premium,west,0
389,654,108,30,14.84,4,desktop,windows,premium,south,1
390,137,33,39,13.19,7,desktop,windows,free,east,0
391,552,119,33,9.27,8,desktop,windows,free,east,1
392,155,62,35,14.86,3,tablet,windows,trial,south,0
393,287,111,45,7.19,8,mobile,android,free,north,1
394,449,14,43,11.45,10,mobile,windows,trial,south,0
395,533,11,41,6.77,8,mobile,mac,free,east,0
396,642,106,31,11.35,10,desktop,ios,free,north,1
397,61,80,39,7.88,2,tablet,android,free,north,1
398,167,21,35,15.02,7,mobile,ios,trial,north,0
399,226,107,37,13.73,14,mobile,mac,trial,west,1
400,247,12,37,9.72,4,tablet,windows,trial,west,0
401,728,81,43,16.36,7,mobile,windows,premium,north,0
402,574,24,28,8.17,9,desktop,android,trial,south,0
403,254,8,34,11.86,9,tablet,linux,free,west,0
404,710,96,42,9.54,3,desktop,linux,free,south,1
405,379,101,43,14.97,2,mobile,windows,free,north,1
406,380,12,35,14.57,11,desktop,windows,free,east,0
407,333,11,27,17.21,8,mobile,android,free,east,0
408,130,73,38,12.33,13,mobile,windows,trial,east,0
409,684,3,34,1.1562499999999964,14,mobile,windows,free,south,0
410,39,89,43,10.28,3,mobile,mac,free,west,1
411,151,109,38,18.26,6,tablet,linux,trial,north,1
412,190,90,39,10.7,12,desktop,mac,trial,south,0
413,225,27,44,4.33,5,mobile,windows,free,west,0
414,122,22,39,13.8,3,desktop,windows,trial,south,0
415,42,81,32,14.1,3,desktop,ios,premium,north,1
416,504,7,33,9.09,8,mobile,linux,free,east,0
417,708,64,34,11.01,6,mobile,linux,premium,east,0
418,115,53,44,8.61,14,mobile,ios,free,east,0
419,237,89,32,14.09,14,desktop,android,free,south,0
420,384,24,26,12.23,2,mobile,ios,trial,west,0
421,679,91,33,7.34,13,desktop,windows,trial,east,0
422,515,83,31,11.96,2,desktop,linux,trial,east,1
423,566,28,31,9.07,11,mobile,ios,free,east,0
424,436,42,25,17.84,14,mobile,windows,free,west,0
425,321,7,45,15.57,5,mobile,mac,free,east,0
426,169,53,35,11.51,3,mobile,linux,free,west,0
427,635,31,29,12.32,1,mobile,android,free,south,1
428,592,13,32,16.06,5,desktop,linux,premium,north,0
429,47,67,38,11.31,14,mobile,mac,free,east,0
430,530,68,30,15.03,7,mobile,android,trial,south,0
431,89,10,38,17.91,6,mobile,windows,trial,west,0
432,547,22,39,10.04,1,mobile,linux,trial,north,0
433,608,9,41,18.58,10,tablet,linux,premium,west,0
434,121,81,34,17.42,3,mobile,linux,premium,west,1
435,333,40,27,12.99,10,mobile,ios,free,west,0
436,116,8,31,10.22,12,desktop,mac,premium,south,0
437,427,22,35,12.94,11,mobile,windows,premium,west,0
438,679,117,38,11.02,8,mobile,mac,free,east,1
439,86,30,27,8.83,10,desktop,ios,free,north,0
440,308,82,30,14.13,6,desktop,ios,free,south,1
441,711,56,34,7.91,10,desktop,linux,free,east,0
442,240,21,32,10.65,10,mobile,android,premium,west,0
443,122,36,35,10.7,3,mobile,mac,premium,south,0
444,372,1,39,6.54,5,mobile,mac,free,south,0
445,385,89,29,14.63,11,mobile,linux,free,east,1
446,494,40,41,11.09,7,tablet,windows,free,north,0
447,249,59,35,17.2,4,mobile,ios,premium,west,0
448,698,18,34,11.02,14,mobile,windows,free,south,0
449,394,98,28,10.37,13,mobile,android,trial,east,1
450,230,26,37,8.38,11,mobile,windows,trial,south,0
451,702,67,43,12.16,6,mobile,mac,free,south,0
452,677,104,30,12.18,8,mobile,android,free,south,1
453,379,85,31,14.97,14,desktop,mac,premium,west,0
454,47,72,26,12.27,8,mobile,windows,free,south,0
455,447,106,34,20.38,12,mobile,ios,free,west,1
456,418,21,35,13.82,12,desktop,windows,free,north,0
457,133,115,32,8.05,12,mobile,ios,free,south,1
458,473,66,34,7.71,9,mobile,linux,free,north,1
459,618,49,30,14.14,5,mobile,mac,free,south,0
460,104,30,30,7.93,5,desktop,android,free,west,0
461,536,89,33,14.38,12,mobile,ios,free,east,0
462,128,117,32,15.58,6,mobile,linux,trial,north,1
463,554,82,34,15.68,4,desktop,mac,free,east,1
464,323,3,34,8.52,3,mobile,windows,free,south,0
465,34,56,30,15.69,9,desktop,windows,premium,north,0
466,706,87,32,13.29,14,mobile,mac,free,north,0
467,146,47,38,9.57,6,mobile,linux,premium,south,0
468,447,92,35,11.36,10,tablet,ios,trial,north,1
469,157,84,37,13.89,5,desktop,mac,free,east,1
470,683,8,28,9.31,6,mobile,linux,free,east,0
471,546,66,28,13.21,6,desktop,ios,premium,west,0
472,593,20,35,17.78,6,mobile,ios,free,west,0
473,332,58,40,15.86,12,mobile,windows,free,west,0
474,357,46,34,12.33,13,mobile,linux,free,south,0
475,474,96,39,12.94,4,mobile,windows,premium,south,1
476,579,104,40,9.85,6,mobile,windows,free,east,1
477,622,55,34,9.96,1,desktop,ios,premium,south,1
478,42,64,35,5.85,11,mobile,mac,free,west,0
479,494,75,35,13.0,10,tablet,linux,free,west,1
480,106,78,36,14.73,12,mobile,linux,free,east,0
481,231,76,31,11.72,8,mobile,android,free,south,0
482,610,93,34,8.49,13,desktop,android,free,west,1
483,205,117,37,12.26,2,mobile,windows,trial,east,1
484,587,99,30,17.37,6,mobile,windows,trial,north,1
485,354,16,47,15.59,7,mobile,windows,free,north,0
486,192,57,27,11.88,11,mobile,windows,free,north,0
487,263,55,40,20.19,4,mobile,android,trial,north,0
488,401,61,32,22.79,5,desktop,ios,free,south,0
489,565,63,40,10.08,2,mobile,windows,premium,east,1
490,454,86,24,11.02,14,mobile,windows,free,east,1
491,683,50,37,14.77,7,mobile,mac,premium,south,0
492,637,31,27,8.35,1,mobile,android,free,south,1
493,557,54,32,15.4,4,tablet,android,free,east,1
494,452,102,31,12.41,8,desktop,windows,free,west,1
495,232,37,33,13.49,7,mobile,ios,free,east,0
496,318,2,34,9.7,8,mobile,mac,free,north,0
497,113,117,37,8.85,1,mobile,windows,free,south,1
498,291,23,30,4.06,13,mobile,mac,free,west,0
499,678,72,39,17.94,12,tablet,linux,free,west,0
500,328,96,41,15.77,4,mobile,windows,free,south,1
501,109,32,36,14.69,6,desktop,windows,premium,south,0
502,486,40,33,13.39,2,desktop,ios,premium,west,0
503,703,33,28,2.78,2,desktop,ios,free,west,1
504,637,17,34,9.0,12,mobile,windows,free,south,0
505,221,18,44,10.98,2,mobile,ios,free,north,0
506,347,22,45,7.67,5,desktop,ios,premium,east,0
507,401,54,37,5.23,14,desktop,ios,trial,east,0
508,203,63,42,8.09,5,mobile,android,premium,east,0
509,218,1,32,12.2,10,mobile,android,trial,west,0
