user_id,days_signup_age,recency_days,frequency_total,session_duration_avg,feature_count_used,device_type,os_type,user_segment,region,dropoff_label,activity_per_day,recency_ratio,feature_use_ratio,engagement_depth_score,dropoff_risk_proxy,device_risk_weight,segment_risk_weight,weighted_risk_proxy
23.0,157.0,119.0,44.0,13.74,8.0,desktop,android,free,south,1,0.27848101265822783,0.7531645569620253,0.17777777777777778,109.92,53.07799999999999,0.6,1.0,53.07799999999999
24.0,678.0,20.0,46.0,10.39,13.0,tablet,ios,free,east,0,0.06774668630338733,0.029455081001472753,0.2765957446808511,135.07,-7.817,0.8,1.0,-7.817
25.0,577.0,22.0,36.0,10.07,7.0,mobile,android,free,west,0,0.06228373702422145,0.03806228373702422,0.1891891891891892,70.49000000000001,-1.6210000000000009,1.0,1.0,-1.6210000000000009
26.0,480.0,111.0,38.0,17.93,6.0,mobile,android,free,north,1,0.079002079002079,0.23076923076923078,0.15384615384615385,107.58,49.321,1.0,1.0,49.321
27.0,311.0,66.0,36.0,10.48,12.0,desktop,android,trial,west,0,0.11538461538461539,0.21153846153846154,0.32432432432432434,125.76,22.656000000000002,0.6,0.8,18.124800000000004
28.0,605.0,5.0,47.0,18.82,5.0,tablet,windows,free,east,0,0.07755775577557755,0.00825082508250825,0.10416666666666667,94.1,-16.396,0.8,1.0,-16.396
29.0,411.0,50.0,27.0,13.03,1.0,mobile,ios,premium,east,1,0.06553398058252427,0.12135922330097088,0.03571428571428571,13.03,18.941000000000003,1.0,0.3,5.682300000000001
30.0,340.0,67.0,34.0,11.36,1.0,tablet,ios,free,south,1,0.09970674486803519,0.19648093841642228,0.02857142857142857,11.36,27.891999999999996,0.8,1.0,27.891999999999996
31.0,345.0,30.0,30.0,4.73,12.0,desktop,android,free,west,0,0.08670520231213873,0.08670520231213873,0.3870967741935484,56.760000000000005,4.280999999999999,0.6,1.0,4.280999999999999
32.0,189.0,65.0,29.0,20.48,10.0,desktop,windows,free,west,0,0.15263157894736842,0.34210526315789475,0.3333333333333333,204.8,21.606,0.6,1.0,21.606
33.0,94.0,77.0,25.0,11.98,3.0,mobile,windows,trial,west,1,0.2631578947368421,0.8105263157894737,0.11538461538461539,35.94,35.15599999999999,1.0,0.8,28.124799999999993
34.0,418.0,30.0,27.0,2.92,4.0,mobile,linux,trial,west,0,0.06443914081145585,0.07159904534606205,0.14285714285714285,11.68,8.774000000000001,1.0,0.8,7.019200000000001
35.0,651.0,97.0,47.0,15.95,12.0,desktop,windows,free,east,1,0.07208588957055215,0.14877300613496933,0.25,191.39999999999998,36.864999999999995,0.6,1.0,36.864999999999995
36.0,74.0,54.0,34.0,11.8,9.0,desktop,linux,free,east,0,0.4533333333333333,0.72,0.2571428571428571,106.2,16.759999999999998,0.6,1.0,16.759999999999998
37.0,630.0,115.0,32.0,8.27,7.0,mobile,windows,free,south,1,0.05071315372424723,0.18225039619651348,0.21212121212121213,57.89,55.719,1.0,1.0,55.719
38.0,609.0,10.0,25.0,15.72,6.0,desktop,windows,premium,north,0,0.040983606557377046,0.01639344262295082,0.23076923076923078,94.32000000000001,-7.3660000000000005,0.6,0.3,-2.2098
39.0,223.0,38.0,34.0,1.81,6.0,desktop,mac,trial,north,1,0.15178571428571427,0.16964285714285715,0.17142857142857143,10.86,11.357000000000001,0.6,0.8,9.085600000000001
40.0,472.0,86.0,29.0,9.14,12.0,mobile,mac,premium,south,1,0.0613107822410148,0.18181818181818182,0.4,109.68,36.80800000000001,1.0,0.3,11.042400000000002
41.0,145.0,107.0,40.0,10.8,3.0,desktop,mac,free,east,1,0.273972602739726,0.7328767123287672,0.07317073170731707,32.400000000000006,49.76,0.6,1.0,49.76
42.0,560.0,26.0,39.0,15.41,13.0,mobile,windows,free,east,0,0.06951871657754011,0.04634581105169341,0.325,200.33,-3.9730000000000008,1.0,1.0,-3.9730000000000008
43.0,520.0,117.0,30.0,20.96,4.0,mobile,windows,free,south,1,0.05758157389635317,0.22456813819577734,0.12903225806451613,83.84,54.812000000000005,1.0,1.0,54.812000000000005
44.0,278.0,23.0,37.0,11.02,4.0,mobile,ios,free,south,0,0.13261648745519714,0.08243727598566308,0.10526315789473684,44.08,-0.35600000000000076,1.0,1.0,-0.35600000000000076
45.0,77.0,49.0,31.0,13.84,6.0,mobile,linux,free,south,0,0.3974358974358974,0.6282051282051282,0.1875,83.03999999999999,15.097999999999997,1.0,1.0,15.097999999999997
46.0,709.0,37.0,36.0,22.846250000000005,12.0,desktop,windows,free,west,0,0.05070422535211268,0.05211267605633803,0.32432432432432434,274.1550000000001,1.5461249999999973,0.6,1.0,1.5461249999999973
47.0,341.0,50.0,33.0,12.02,1.0,desktop,ios,free,west,0,0.09649122807017543,0.14619883040935672,0.029411764705882353,12.02,17.744,0.6,1.0,17.744
48.0,655.0,108.0,33.0,13.87,3.0,mobile,android,free,south,1,0.05030487804878049,0.16463414634146342,0.08823529411764706,41.61,51.18899999999999,1.0,1.0,51.18899999999999
49.0,504.0,87.0,39.0,7.05,6.0,mobile,ios,free,east,1,0.07722772277227723,0.17227722772277226,0.15,42.3,37.934999999999995,1.0,1.0,37.934999999999995
50.0,574.0,95.0,47.0,19.84,2.0,desktop,mac,trial,west,1,0.0817391304347826,0.16521739130434782,0.041666666666666664,39.68,38.498000000000005,0.6,0.8,30.798400000000004
51.0,561.0,30.0,34.0,9.15,6.0,mobile,mac,trial,south,0,0.060498220640569395,0.05338078291814947,0.17142857142857143,54.900000000000006,4.3549999999999995,1.0,0.8,3.484
52.0,166.0,113.0,37.0,13.07,6.0,tablet,ios,free,south,1,0.2215568862275449,0.6766467065868264,0.15789473684210525,78.42,52.229,0.8,1.0,52.229
53.0,284.0,52.0,30.0,12.96,9.0,desktop,ios,premium,east,0,0.10526315789473684,0.1824561403508772,0.2903225806451613,116.64000000000001,16.211999999999996,0.6,0.3,4.863599999999999
54.0,356.0,78.0,36.0,12.34,5.0,tablet,ios,premium,east,1,0.10084033613445378,0.2184873949579832,0.13513513513513514,61.7,32.098,0.8,0.3,9.629399999999999
55.0,378.0,83.0,40.0,10.26,8.0,desktop,windows,free,west,1,0.10554089709762533,0.21899736147757257,0.1951219512195122,82.08,33.52199999999999,0.6,1.0,33.52199999999999
56.0,60.0,79.0,31.0,12.97,14.0,tablet,android,trial,north,0,0.5081967213114754,1.2950819672131149,0.4375,181.58,30.159,0.8,0.8,24.127200000000002
57.0,412.0,72.0,31.0,19.03,7.0,desktop,linux,free,west,0,0.07506053268765134,0.17433414043583534,0.21875,133.21,26.940999999999995,0.6,1.0,26.940999999999995
58.0,138.0,57.0,37.0,21.12,12.0,mobile,android,free,north,0,0.26618705035971224,0.41007194244604317,0.3157894736842105,253.44,13.813999999999997,1.0,1.0,13.813999999999997
59.0,550.0,77.0,30.0,11.3,4.0,desktop,linux,free,south,1,0.0544464609800363,0.1397459165154265,0.12903225806451613,45.2,33.709999999999994,0.6,1.0,33.709999999999994
60.0,508.0,108.0,41.0,10.2,13.0,mobile,ios,free,south,1,0.08055009823182711,0.21218074656188604,0.30952380952380953,132.6,46.28999999999999,1.0,1.0,46.28999999999999
61.0,675.0,46.0,35.0,8.76,8.0,desktop,mac,free,east,0,0.051775147928994084,0.06804733727810651,0.2222222222222222,70.08,13.021999999999998,0.6,1.0,13.021999999999998
62.0,551.0,61.0,36.0,22.74,2.0,mobile,android,premium,east,0,0.06521739130434782,0.1105072463768116,0.05405405405405406,45.48,19.978,1.0,0.3,5.9934
63.0,286.0,21.0,43.0,12.52,13.0,desktop,mac,premium,north,0,0.14982578397212543,0.07317073170731707,0.29545454545454547,162.76,-7.106,0.6,0.3,-2.1317999999999997
64.0,707.0,42.0,30.0,16.46,10.0,desktop,android,free,west,0,0.0423728813559322,0.059322033898305086,0.3225806451612903,164.60000000000002,8.762,0.6,1.0,8.762
65.0,317.0,92.0,33.0,14.79,5.0,desktop,windows,free,west,1,0.10377358490566038,0.2893081761006289,0.14705882352941177,73.94999999999999,40.513,0.6,1.0,40.513
66.0,258.0,76.0,30.0,20.83,9.0,mobile,windows,premium,north,0,0.11583011583011583,0.29343629343629346,0.2903225806451613,187.46999999999997,28.251,1.0,0.3,8.4753
67.0,663.0,25.0,33.0,11.01,14.0,tablet,ios,trial,east,0,0.04969879518072289,0.03765060240963856,0.4117647058823529,154.14,-2.1530000000000005,0.8,0.8,-1.7224000000000004
68.0,289.0,65.0,29.0,7.57,2.0,desktop,mac,free,west,1,0.1,0.22413793103448276,0.06666666666666667,15.14,28.679,0.6,1.0,28.679
69.0,83.0,97.0,37.0,19.44,1.0,mobile,linux,premium,north,1,0.44047619047619047,1.1547619047619047,0.02631578947368421,19.44,42.717999999999996,1.0,0.3,12.815399999999999
70.0,358.0,14.0,37.0,15.61,12.0,mobile,mac,free,south,0,0.10306406685236769,0.03899721448467967,0.3157894736842105,187.32,-10.333,1.0,1.0,-10.333
71.0,586.0,7.0,36.0,13.83,5.0,mobile,ios,free,south,0,0.06132879045996593,0.01192504258943782,0.13513513513513514,69.15,-10.949,1.0,1.0,-10.949
72.0,162.0,47.0,30.0,18.14,12.0,mobile,android,free,west,0,0.18404907975460122,0.2883435582822086,0.3870967741935484,217.68,10.457999999999998,1.0,1.0,10.457999999999998
73.0,354.0,78.0,35.0,14.05,11.0,desktop,mac,trial,east,0,0.09859154929577464,0.21971830985915494,0.3055555555555556,154.55,29.434999999999995,0.6,0.8,23.548
74.0,120.0,37.0,33.0,18.28,13.0,mobile,ios,free,north,0,0.2727272727272727,0.30578512396694213,0.38235294117647056,237.64000000000001,3.265999999999999,1.0,1.0,3.265999999999999
75.0,510.0,98.0,33.0,12.99,11.0,mobile,android,premium,east,1,0.06457925636007827,0.1917808219178082,0.3235294117647059,142.89000000000001,42.253,1.0,0.3,12.6759
76.0,362.0,101.0,37.0,15.61,14.0,desktop,linux,trial,east,0,0.10192837465564739,0.27823691460055094,0.3684210526315789,218.54,41.06699999999999,0.6,0.8,32.85359999999999
77.0,261.0,63.0,38.0,14.11,9.0,mobile,mac,free,east,0,0.1450381679389313,0.24045801526717558,0.23076923076923078,126.99,20.466999999999995,1.0,1.0,20.466999999999995
78.0,188.0,45.0,27.0,10.7,2.0,desktop,mac,free,west,1,0.14285714285714285,0.23809523809523808,0.07142857142857142,21.4,16.24,0.6,1.0,16.24
79.0,425.0,5.0,44.0,11.18,3.0,mobile,windows,free,north,0,0.10328638497652583,0.011737089201877934,0.06666666666666667,33.54,-12.553999999999998,1.0,1.0,-12.553999999999998
80.0,498.0,98.0,37.0,10.43,13.0,mobile,android,free,south,1,0.07414829659318638,0.1963927855711423,0.34210526315789475,135.59,41.221,1.0,1.0,41.221
81.0,688.0,107.0,34.0,13.06,5.0,tablet,android,free,north,1,0.04934687953555878,0.15529753265602322,0.14285714285714285,65.3,49.782000000000004,0.8,1.0,49.782000000000004
82.0,336.0,53.0,30.0,10.18,14.0,mobile,ios,premium,west,0,0.08902077151335312,0.1572700296735905,0.45161290322580644,142.51999999999998,15.645999999999997,1.0,0.3,4.693799999999999
83.0,142.0,61.0,31.0,13.74,13.0,mobile,windows,trial,west,0,0.21678321678321677,0.42657342657342656,0.40625,178.62,19.528000000000002,1.0,0.8,15.622400000000003
84.0,612.0,90.0,33.0,13.61,10.0,tablet,mac,free,west,1,0.053833605220228384,0.1468189233278956,0.29411764705882354,136.1,37.667,0.8,1.0,37.667
85.0,470.0,83.0,34.0,12.82,2.0,mobile,mac,premium,south,1,0.07218683651804671,0.1762208067940552,0.05714285714285714,25.64,36.653999999999996,1.0,0.3,10.996199999999998
86.0,520.0,16.0,38.0,12.89,3.0,desktop,android,premium,south,0,0.07293666026871401,0.030710172744721688,0.07692307692307693,38.67,-4.9670000000000005,0.6,0.3,-1.4901000000000002
87.0,98.0,80.0,30.0,9.74,11.0,tablet,mac,premium,south,0,0.30303030303030304,0.8080808080808081,0.3548387096774194,107.14,33.178000000000004,0.8,0.3,9.9534
88.0,248.0,110.0,42.0,10.87,6.0,mobile,android,free,north,1,0.1686746987951807,0.44176706827309237,0.13953488372093023,65.22,49.839,1.0,1.0,49.839
89.0,567.0,90.0,33.0,5.32,6.0,desktop,linux,free,west,1,0.058098591549295774,0.15845070422535212,0.17647058823529413,31.92,41.754,0.6,1.0,41.754
90.0,612.0,57.0,32.0,11.52,2.0,desktop,mac,trial,north,1,0.052202283849918436,0.0929853181076672,0.06060606060606061,23.04,21.943999999999996,0.6,0.8,17.555199999999996
91.0,334.0,62.0,32.0,8.06,7.0,tablet,linux,free,east,0,0.0955223880597015,0.18507462686567164,0.21212121212121213,56.42,23.981999999999996,0.8,1.0,23.981999999999996
92.0,593.0,31.0,31.0,12.4,1.0,desktop,windows,free,north,0,0.05218855218855219,0.05218855218855219,0.03125,12.4,6.729999999999998,0.6,1.0,6.729999999999998
93.0,619.0,79.0,39.0,9.14,2.0,desktop,android,premium,north,1,0.06290322580645161,0.12741935483870967,0.05,18.28,34.108000000000004,0.6,0.3,10.2324
94.0,301.0,28.0,48.0,3.8,13.0,mobile,windows,premium,east,0,0.15894039735099338,0.09271523178807947,0.2653061224489796,49.4,-1.5399999999999991,1.0,0.3,-0.46199999999999974
95.0,658.0,41.0,30.0,21.01,11.0,desktop,android,free,north,0,0.04552352048558422,0.0622154779969651,0.3548387096774194,231.11,6.396999999999997,0.6,1.0,6.396999999999997
96.0,231.0,31.0,45.0,11.07,14.0,desktop,mac,premium,north,0,0.1939655172413793,0.1336206896551724,0.30434782608695654,154.98000000000002,-1.5710000000000024,0.6,0.3,-0.4713000000000007
97.0,197.0,40.0,44.0,17.79,13.0,tablet,windows,free,north,0,0.2222222222222222,0.20202020202020202,0.28888888888888886,231.26999999999998,2.463,0.8,1.0,2.463
98.0,507.0,44.0,46.0,9.89,13.0,mobile,linux,trial,south,0,0.09055118110236221,0.08661417322834646,0.2765957446808511,128.57,6.732999999999998,1.0,0.8,5.386399999999998
99.0,475.0,9.0,38.0,18.79,6.0,mobile,ios,free,north,0,0.07983193277310924,0.018907563025210083,0.15384615384615385,112.74,-12.137,1.0,1.0,-12.137
100.0,127.0,86.0,47.0,7.39,4.0,tablet,windows,free,north,1,0.3671875,0.671875,0.08333333333333333,29.56,36.033,0.8,1.0,36.033
101.0,612.0,52.0,28.0,12.7,10.0,desktop,ios,trial,north,0,0.04567699836867863,0.08482871125611746,0.3448275862068966,127.0,16.39,0.6,0.8,13.112000000000002
102.0,169.0,113.0,33.0,7.63,9.0,mobile,windows,free,west,1,0.19411764705882353,0.6647058823529411,0.2647058823529412,68.67,53.660999999999994,1.0,1.0,53.660999999999994
103.0,593.0,21.0,33.0,22.4,7.0,mobile,android,premium,west,0,0.05555555555555555,0.03535353535353535,0.20588235294117646,156.79999999999998,-5.17,1.0,0.3,-1.551
104.0,35.0,80.0,39.0,11.0,7.0,tablet,ios,free,south,1,1.0833333333333333,2.2222222222222223,0.175,77.0,32.150000000000006,0.8,1.0,32.150000000000006
105.0,587.0,21.0,38.0,15.31,3.0,tablet,windows,free,east,0,0.06462585034013606,0.03571428571428571,0.07692307692307693,45.93,-2.6930000000000005,0.8,1.0,-2.6930000000000005
106.0,580.0,65.0,40.0,13.8,7.0,mobile,linux,free,east,1,0.06884681583476764,0.11187607573149742,0.17073170731707318,96.60000000000001,22.06,1.0,1.0,22.06
107.0,576.0,58.0,40.0,11.9,14.0,desktop,windows,trial,north,0,0.06932409012131716,0.10051993067590988,0.34146341463414637,166.6,15.629999999999995,0.6,0.8,12.503999999999998
108.0,495.0,53.0,33.0,14.07,6.0,mobile,windows,trial,east,0,0.06653225806451613,0.10685483870967742,0.17647058823529413,84.42,16.928999999999995,1.0,0.8,13.543199999999997
109.0,360.0,78.0,46.0,17.44,8.0,mobile,android,free,north,0,0.12742382271468145,0.21606648199445982,0.1702127659574468,139.52,26.868,1.0,1.0,26.868
110.0,523.0,99.0,39.0,14.67,14.0,desktop,ios,free,south,0,0.07442748091603053,0.18893129770992367,0.35,205.38,39.648999999999994,0.6,1.0,39.648999999999994
111.0,223.0,38.0,35.0,12.65,12.0,mobile,android,free,east,0,0.15625,0.16964285714285715,0.3333333333333333,151.8,5.455,1.0,1.0,5.455
112.0,576.0,101.0,31.0,14.08,12.0,mobile,windows,free,west,1,0.053726169844020795,0.17504332755632582,0.375,168.96,43.82599999999999,1.0,1.0,43.82599999999999
113.0,418.0,22.0,34.0,19.66,1.0,mobile,windows,free,south,0,0.081145584725537,0.05250596658711217,0.02857142857142857,19.66,-1.5980000000000003,1.0,1.0,-1.5980000000000003
114.0,351.0,35.0,46.0,10.33,12.0,mobile,windows,premium,north,0,0.13068181818181818,0.09943181818181818,0.2553191489361702,123.96000000000001,1.600999999999999,1.0,0.3,0.4802999999999997
115.0,383.0,37.0,34.0,4.58,2.0,mobile,linux,free,east,1,0.08854166666666667,0.09635416666666667,0.05714285714285714,9.16,11.525999999999998,1.0,1.0,11.525999999999998
116.0,428.0,114.0,33.0,7.61,1.0,tablet,linux,free,east,1,0.07692307692307693,0.26573426573426573,0.029411764705882353,7.61,57.46699999999999,0.8,1.0,57.46699999999999
117.0,56.0,14.0,26.0,7.91,5.0,mobile,windows,trial,north,0,0.45614035087719296,0.24561403508771928,0.18518518518518517,39.55,-2.4729999999999994,1.0,0.8,-1.9783999999999997
118.0,127.0,47.0,33.0,8.47,6.0,desktop,ios,premium,north,0,0.2578125,0.3671875,0.17647058823529413,50.82000000000001,15.008999999999999,0.6,0.3,4.502699999999999
119.0,201.0,50.0,32.0,8.61,2.0,mobile,linux,trial,south,0,0.15841584158415842,0.24752475247524752,0.06060606060606061,17.22,18.617,1.0,0.8,14.893600000000001
120.0,110.0,96.0,34.0,11.91,9.0,desktop,android,free,north,1,0.3063063063063063,0.8648648648648649,0.2571428571428571,107.19,41.92699999999999,0.6,1.0,41.92699999999999
121.0,337.0,58.0,38.0,12.99,13.0,desktop,windows,free,west,0,0.11242603550295859,0.17159763313609466,0.3333333333333333,168.87,16.203,0.6,1.0,16.203
122.0,497.0,116.0,38.0,12.95,10.0,tablet,windows,free,west,1,0.07630522088353414,0.23293172690763053,0.2564102564102564,129.5,52.214999999999996,0.8,1.0,52.214999999999996
123.0,488.0,88.0,39.0,9.08,14.0,mobile,ios,free,west,1,0.07975460122699386,0.17995910020449898,0.35,127.12,34.726,1.0,1.0,34.726
124.0,359.0,84.0,30.0,15.98,13.0,mobile,android,trial,north,1,0.08333333333333333,0.23333333333333334,0.41935483870967744,207.74,32.906,1.0,0.8,26.3248
125.0,628.0,90.0,40.0,14.14,12.0,mobile,windows,premium,south,0,0.06359300476947535,0.14308426073131955,0.2926829268292683,169.68,34.958,1.0,0.3,10.4874
126.0,425.0,19.0,38.0,18.33,3.0,mobile,windows,free,south,0,0.0892018779342723,0.04460093896713615,0.07692307692307693,54.989999999999995,-4.7989999999999995,1.0,1.0,-4.7989999999999995
127.0,85.0,53.0,33.0,15.39,9.0,desktop,android,trial,south,0,0.38372093023255816,0.6162790697674418,0.2647058823529412,138.51,15.332999999999997,0.6,0.8,12.266399999999997
128.0,565.0,70.0,44.0,10.6,2.0,desktop,mac,trial,north,1,0.07773851590106007,0.12367491166077739,0.044444444444444446,21.2,27.02,0.6,0.8,21.616
129.0,432.0,25.0,29.0,17.22,11.0,mobile,linux,free,north,0,0.06697459584295612,0.057736720554272515,0.36666666666666664,189.42,-1.8159999999999998,1.0,1.0,-1.8159999999999998
130.0,474.0,14.0,45.0,13.09,13.0,desktop,ios,free,east,0,0.09473684210526316,0.029473684210526315,0.2826086956521739,170.17,-11.977,0.6,1.0,-11.977
131.0,425.0,16.0,31.0,15.19,2.0,desktop,android,premium,east,0,0.07276995305164319,0.03755868544600939,0.0625,30.38,-3.5069999999999997,0.6,0.3,-1.0520999999999998
132.0,417.0,94.0,43.0,14.88,8.0,mobile,android,free,west,1,0.10287081339712918,0.22488038277511962,0.18181818181818182,119.04,37.986,1.0,1.0,37.986
133.0,93.0,78.0,39.0,11.5,2.0,desktop,android,free,south,1,0.4148936170212766,0.8297872340425532,0.05,23.0,32.8,0.6,1.0,32.8
134.0,421.0,33.0,41.0,12.41,8.0,desktop,ios,free,north,0,0.0971563981042654,0.07819905213270142,0.19047619047619047,99.28,2.6270000000000007,0.6,1.0,2.6270000000000007
135.0,586.0,88.0,29.0,11.47,7.0,tablet,android,trial,west,0,0.049403747870528106,0.14991482112436116,0.23333333333333334,80.29,39.309,0.8,0.8,31.4472
136.0,242.0,83.0,25.0,8.59,13.0,desktop,windows,premium,east,0,0.102880658436214,0.34156378600823045,0.5,111.67,35.772999999999996,0.6,0.3,10.731899999999998
137.0,451.0,97.0,29.0,3.42,4.0,desktop,android,free,west,1,0.06415929203539823,0.21460176991150443,0.13333333333333333,13.68,48.32399999999999,0.6,1.0,48.32399999999999
138.0,51.0,109.0,41.0,9.22,11.0,mobile,ios,free,west,1,0.7884615384615384,2.0961538461538463,0.2619047619047619,101.42,47.983999999999995,1.0,1.0,47.983999999999995
139.0,273.0,105.0,33.0,12.8,10.0,desktop,linux,premium,north,1,0.12043795620437957,0.38321167883211676,0.29411764705882354,128.0,46.91,0.6,0.3,14.072999999999999
140.0,335.0,21.0,28.0,16.34,11.0,tablet,linux,trial,west,0,0.08333333333333333,0.0625,0.3793103448275862,179.74,-3.702000000000001,0.8,0.8,-2.9616000000000007
141.0,717.0,92.0,38.0,15.18,14.0,mobile,ios,premium,east,1,0.052924791086350974,0.12813370473537605,0.358974358974359,212.51999999999998,35.54599999999999,1.0,0.3,10.663799999999997
142.0,180.0,47.0,42.0,10.88,3.0,mobile,linux,trial,west,0,0.23204419889502761,0.2596685082872928,0.06976744186046512,32.64,13.236,1.0,0.8,10.5888
143.0,223.0,48.0,37.0,9.28,1.0,desktop,windows,trial,east,0,0.16517857142857142,0.21428571428571427,0.02631578947368421,9.28,16.366,0.6,0.8,13.0928
144.0,315.0,77.0,44.0,11.28,9.0,mobile,windows,free,north,1,0.13924050632911392,0.24367088607594936,0.2,101.52,28.215999999999994,1.0,1.0,28.215999999999994
145.0,724.0,72.0,41.0,8.1,2.0,mobile,windows,free,north,1,0.05655172413793103,0.0993103448275862,0.047619047619047616,16.2,29.719999999999995,1.0,1.0,29.719999999999995
146.0,627.0,50.0,35.0,3.54,7.0,desktop,windows,free,south,1,0.05573248407643312,0.07961783439490445,0.19444444444444445,24.78,17.387999999999998,0.6,1.0,17.387999999999998
147.0,54.0,119.0,38.0,5.82,8.0,desktop,ios,free,north,1,0.6909090909090909,2.1636363636363636,0.20512820512820512,46.56,56.953999999999986,0.6,1.0,56.953999999999986
148.0,193.0,20.0,44.0,17.5,9.0,mobile,android,free,east,0,0.2268041237113402,0.10309278350515463,0.2,157.5,-7.85,1.0,1.0,-7.85
149.0,605.0,11.0,35.0,19.43,1.0,mobile,android,free,west,0,0.057755775577557754,0.018151815181518153,0.027777777777777776,19.43,-8.379,1.0,1.0,-8.379
150.0,70.0,3.0,27.0,15.02,9.0,mobile,android,free,east,0,0.38028169014084506,0.04225352112676056,0.32142857142857145,135.18,-13.056,1.0,1.0,-13.056
151.0,628.0,97.0,32.0,11.77,11.0,mobile,android,trial,south,1,0.05087440381558029,0.15421303656597773,0.3333333333333333,129.47,42.269,1.0,0.8,33.8152
152.0,226.0,48.0,34.0,6.43,1.0,mobile,linux,free,west,0,0.14977973568281938,0.21145374449339208,0.02857142857142857,6.43,17.971,1.0,1.0,17.971
153.0,672.0,52.0,29.0,11.36,6.0,desktop,mac,premium,south,1,0.04309063893016345,0.07726597325408618,0.2,68.16,18.141999999999996,0.6,0.3,5.442599999999999
